food,calorie,protein,carbs,fat,Goals,Preferences,Restrictions,Sugar,Fiber,Sodium,Vitamins,Minerals,Minerals
Chicken Breast,165,31,0,3.6,Weight loss,Protein-Rich Foods,Lactose intolerant,0.5,0,75,2,1,1
Salmon,206,22,0,13,Muscle gain,Protein-Rich Foods,None,0,0,50,10,2,2
Brown Rice,215,5,1.6,45,General health,Whole Grains,Gluten-free,0,3,0,1,3,3
Broccoli,55,3.7,0.6,11,Weight loss,Vegetables,Lactose intolerant,1,2,30,3,2,2
Almonds,7,0.3,0.6,0.6,Weight loss,Protein-Rich Foods,None,0.2,1,0,0,1,1
Whole Wheat Bread,69,3,1,12,Muscle gain,Whole Grains,None,1,2,120,5,2,2
Greek Yogurt,59,10,0.4,3,General health,Dairy,None,6,0,30,2,1,1
Spinach,23,2.9,0.4,3,General health,Vegetables,None,0.4,2,20,4,2,2
Apple,95,0.5,0.3,25,Weight loss,Fruits,Gluten-free,19,3,0,1,1,1
Olive Oil,119,0,13.5,0,General health,None,None,0,0,0,0,0,0
Quinoa,120,4,2,21,Muscle gain,Whole Grains,Gluten-free,0,2,0,0,1,1
Banana,105,1.3,0.3,27,General health,Fruits,None,14,3,1,1,1,1
Eggs,68,5.5,4.8,0.6,General health,Protein-Rich Foods,None,0.6,0,70,8,1,1
Avocado,160,2,15,9,Weight loss,Fruits,None,0.7,4,14,2,1,1
Cottage Cheese,206,28,9,6,Muscle gain,Dairy,Lactose intolerant,3,0,300,12,2,2
Sweet Potato,112,2,0.2,26,General health,Whole Grains,None,6,4,50,10,1,1
Turkey Breast,135,30,0,1,Weight loss,Protein-Rich Foods,None,0,0,50,0,2,2
Tofu,144,15,3.9,8.2,General health,Vegetarian,None,0.1,1.5,6,10,1,1
Quinoa Salad,180,4,29,6,Muscle gain,Whole Grains,Gluten-free,2,4.2,10,2,2,2
Blueberries,57,0.7,14.5,0.3,General health,Fruits,None,9.7,2.4,1,9,1,1
Salad Greens,5,0.5,1,0,Weight loss,Vegetables,None,0.1,0.5,5,70,1,1
Peanut Butter,188,8,6,16,Muscle gain,Protein-Rich Foods,None,3,2,147,0,2,2
Mango,60,0.8,15,0.4,General health,Fruits,None,14.6,1.6,1,11,1,1
Chickpeas,164,8.9,27,2.6,Muscle gain,Protein-Rich Foods,Vegetarian,4.8,7.6,13,2,2,2
Yogurt Parfait,210,12,36,3.5,Muscle gain,Dairy,None,24,2,80,15,1,1
Cauliflower Rice,25,2,5,0.2,Weight loss,Vegetables,None,1.9,2.7,30,0,2,2
Lentils,230,18,40,1,Muscle gain,Vegetarian,None,2,16,2,9,2,2
Salmon Salad,280,25,8,18,Weight loss,Protein-Rich Foods,None,2,3,30,15,2,2
Oatmeal,150,5,27,2,Muscle gain,Whole Grains,None,1,4,0,15,2,2
Cucumber,16,0.7,3.6,0.2,Weight loss,Vegetables,None,1.9,0.5,2,2,1,1
Pineapple,50,0.5,13,0.1,General health,Fruits,None,9.9,1.4,1,47,1,1
Cottage Cheese Wrap,300,25,30,10,Muscle gain,Dairy,None,3,1.5,420,20,2,2
Kale,33,2.9,6.7,0.5,Weight loss,Vegetables,None,1.3,1.3,29,68,2,2
Ground Turkey,220,26,0,12,Weight loss,Protein-Rich Foods,None,0,0,80,0,2,2
Quinoa Bowl,320,14,54,6,Muscle gain,Whole Grains,Gluten-free,2,8,15,6,2,2
Carrot Sticks,41,0.9,10,0.2,General health,Vegetables,None,4.7,2.8,69,5,1,1
Shrimp Stir Fry,200,25,12,8,Weight loss,Protein-Rich Foods,None,2,3,450,15,2,2
Pumpkin Seeds,180,9,7,14,Muscle gain,Protein-Rich Foods,None,0.3,1.1,7,2,1,1
Mushroom Risotto,320,8,56,8,General health,Vegetarian,None,1,3,600,10,2,2
Grapes,69,0.6,18,0.2,General health,Fruits,None,15,0.9,2,3,1,1
Tuna Salad Wrap,250,20,15,12,Weight loss,Protein-Rich Foods,None,1,2,400,10,2,2
Chia Pudding,150,4,12,9,Weight loss,Whole Grains,Vegetarian,8,10,50,0,2,2
Green Beans,31,1.8,7,0.1,Weight loss,Vegetables,None,1,3.4,6,16,2,2
Cottage Cheese Pancakes,280,25,20,10,Muscle gain,Dairy,None,3,1,350,15,2,2
Barley Salad,220,5,45,2,General health,Whole Grains,Vegetarian,0.5,8,15,3,2,2
Kiwi,61,1.1,15,0.5,General health,Fruits,None,9,2.1,2,92,1,1
Turkey Burger,250,28,5,13,Weight loss,Protein-Rich Foods,None,1,1.5,350,8,2,2
Quiche,320,14,18,22,General health,Dairy,None,1,1,400,20,2,2
Black Beans,120,7,22,1,Muscle gain,Vegetarian,None,0,7.5,1,0,2,2
Orange,62,1.2,16,0.2,General health,Fruits,None,12,3.1,0,89,1,1
Grilled Chicken Salad,180,25,8,6,Weight loss,Protein-Rich Foods,None,3,2,300,15,2,2
Hummus,70,2,8,4,General health,Vegetarian,None,0,2.6,180,1,1,1
Cabbage Slaw,45,1.2,11,0.1,Weight loss,Vegetables,None,4.5,2.9,20,32,2,2
Milk,103,8,12,2.4,Muscle gain,Dairy,Lactose intolerant,12,0,102,22,2,2
Spaghetti Squash,31,1,7,0.6,General health,Vegetarian,None,1,2.2,17,2,1,1
Papaya,43,0.5,11,0.4,General health,Fruits,None,8.3,1.7,8,20,1,1
Tofu Stir-Fry,180,16,12,8,General health,Vegetarian,None,2,3,500,15,2,2
Walnuts,185,4.3,3.9,18,Muscle gain,Nuts,None,0.7,1.9,0,0,2,2
Pasta Primavera,250,8,50,2,General health,Whole Grains,Vegetarian,2,8,10,6,1,1
Dragon Fruit,60,1,13,1,General health,Fruits,None,9,3,2,9,1,1
Salmon Sushi Roll,300,15,40,10,Weight loss,Protein-Rich Foods,None,4,2,600,10,2,2
Quinoa Salad Bowl,280,9,40,8,General health,Whole Grains,Vegetarian,1,6,15,2,2,2
Asparagus,20,2.2,3.7,0.2,Weight loss,Vegetables,None,1.8,2,0,16,2,2
Almond Milk,13,1,0.5,1,Muscle gain,Nuts,Lactose intolerant,0,1,50,25,2,2
Couscous Salad,180,5,35,1.5,General health,Whole Grains,Vegetarian,1,3,10,2,1,1
Mango Smoothie,120,2,30,0.6,General health,Fruits,None,23,3,5,21,1,1
Pecans,196,2.6,3.9,20,Muscle gain,Nuts,None,1.1,2.7,0,0,2,2
Eggplant Parmesan,220,12,14,14,General health,Vegetarian,None,6,6,450,12,2,2
Grapefruit,52,0.6,13,0.2,Weight loss,Fruits,None,8,1.6,0,23,1,1
Chicken Caesar Salad,350,30,10,20,Weight loss,Protein-Rich Foods,None,2,3,700,20,2,2
Buckwheat Pancakes,210,6,42,2,General health,Whole Grains,None,7,4,300,2,1,1
Zucchini,17,1.2,3.1,0.2,Weight loss,Vegetables,None,1.2,1,8,21,1,1
Coconut Milk,230,2,5,24,Muscle gain,Nuts,None,0,1,20,0,2,2
Chickpea Curry,250,12,45,5,General health,Vegetarian,None,6,12,700,10,2,2
Paprika,19,0.9,3.7,0.9,General health,Spices,None,1.4,2.7,4,25,2,2
Eggplant Stir-Fry,120,2,26,1,Weight loss,Vegetarian,None,6,8,200,10,2,2
Hazelnuts,176,4.2,5.1,17.7,Muscle gain,Nuts,None,1.5,2.7,0,0,2,2
Cauliflower Pizza,280,12,40,9,General health,Vegetarian,None,2,7,600,8,2,2
Berries Mix,70,1,17,0.5,General health,Fruits,None,8,6.5,0,16,1,1
Turkey Wrap,220,20,15,8,Weight loss,Protein-Rich Foods,None,3,2,450,15,2,2
Buckwheat Salad,200,5,40,2,General health,Whole Grains,None,3,8,150,6,1,1
Snap Peas,41,2.5,8,0.2,Weight loss,Vegetables,None,3.4,2.6,5,38,2,2
Coconut Water,46,0.9,8.9,0.5,Muscle gain,Fruits,None,6,2.6,252,7,2,2
Lentil Soup,150,9,28,1,General health,Vegetarian,None,1,7,600,10,2,2
Pomegranate,83,1.7,18.7,1,General health,Fruits,None,9.2,4,3,10,1,1
Cabbage Roll,150,10,20,3,Weight loss,Vegetarian,None,5,6,300,15,2,2
Pistachios,160,6,8,13,Muscle gain,Nuts,None,2,3,0,0,2,2
Vegetable Curry,220,6,40,5,General health,Vegetarian,None,8,9,450,20,2,2
Clementine,35,0.6,8.3,0.2,General health,Fruits,None,7.9,1.3,1,48,1,1
Grilled Shrimp Salad,180,22,10,7,Weight loss,Protein-Rich Foods,None,2,3,250,15,2,2
Wild Rice Bowl,280,7,56,2,General health,Whole Grains,None,0,6,10,0,2,2
Brussels Sprouts,38,3,8,0.3,Weight loss,Vegetables,None,1.9,3.3,16,42,2,2
Coconut Yogurt,120,2,15,5,Muscle gain,Dairy,Lactose intolerant,9,0,15,10,1,1
Chickpea Salad Wrap,220,9,40,4,General health,Vegetarian,None,5,10,300,15,2,2
Blueberry Smoothie,120,2,30,0.5,General health,Fruits,None,20,3,5,21,1,1
Stir-Fried Tofu,180,16,10,12,Weight loss,Vegetarian,None,2,4,300,8,2,2
Macadamia Nuts,200,2.2,4,21,Muscle gain,Nuts,None,1.5,2.4,0,0,2,2
Egg Fried Rice,250,8,45,5,General health,Whole Grains,None,1,3,600,10,2,2
Passion Fruit,68,2.2,17,0.5,General health,Fruits,None,16,5.4,10,50,1,1
Grilled Turkey Breast,170,30,1,4,Weight loss,Protein-Rich Foods,None,0,0,100,10,2,2
Millet Salad,210,7,40,3,General health,Whole Grains,None,2,5,200,8,1,1
Artichoke,47,3.3,10,0.2,Weight loss,Vegetables,None,1,5.4,94,15,2,2
Coconut Oil,120,0,0,14,Muscle gain,Fats,None,0,0,0,0,0,0
Black Bean Burger,220,15,30,4,General health,Vegetarian,None,2,7,400,15,2,2
Raspberry Smoothie,90,1,22,0.5,General health,Fruits,None,15,5,5,35,1,1
Chickpea Spinach Curry,220,8,35,5,General health,Vegetarian,None,7,10,500,15,2,2
Sunflower Seeds,200,7,7,17,Muscle gain,Nuts,None,1.5,3.9,1,0,2,2
Caprese Salad,180,12,5,13,Weight loss,Dairy,None,2,2,350,20,2,2
Papaya Salad,90,1.3,22,0.5,General health,Fruits,None,11,2.5,20,45,1,1
Shrimp Scampi,220,25,6,11,Weight loss,Protein-Rich Foods,None,1,1,350,10,2,2
Farro Bowl,240,10,48,1.5,General health,Whole Grains,None,1,8,10,2,2,2
Radish,16,0.7,3.4,0.1,Weight loss,Vegetables,None,1.9,1.6,39,16,2,2
Avocado Toast,200,4,14,15,Muscle gain,Fats,None,1,7,200,6,2,2
Mushroom Risotto,300,9,45,8,General health,Vegetarian,None,2,3,500,15,2,2
Strawberry Banana Smoothie,120,1,30,0.5,General health,Fruits,None,20,4,5,30,1,1
Lentil Stir-Fry,180,8,30,4,Weight loss,Vegetarian,None,4,10,250,15,2,2
Brazil Nuts,190,4,3.5,19,Muscle gain,Nuts,None,0.7,2.1,0,0,2,2
Quinoa Stuffed Bell Peppers,260,9,45,5,General health,Whole Grains,Vegetarian,6,9,400,20,2,2
Watermelon,30,0.6,8,0.2,General health,Fruits,None,6,0.4,1,10,1,1
Grilled Salmon Salad,200,25,10,8,Weight loss,Protein-Rich Foods,None,2,3,300,15,2,2
Bulgur Pilaf,180,6,35,1,General health,Whole Grains,None,0.5,8,10,2,1,1
Cucumber Salad,25,0.8,5.4,0.3,Weight loss,Vegetables,None,1.5,1,5,16,2,2
Almond Butter,190,6,6,16,Muscle gain,Nuts,None,3,3,0,0,2,2
Chickpea Buddha Bowl,240,10,35,7,General health,Vegetarian,None,5,10,400,10,2,2
Pineapple Coconut Smoothie,100,1,25,0.5,General health,Fruits,None,18,2,5,20,1,1
Sweet Potato Curry,220,6,40,3,General health,Vegetarian,None,8,7,500,20,2,2
Pine Nuts,190,3.5,3.7,19,Muscle gain,Nuts,None,1,1,0,0,2,2
Egg Fried Quinoa,230,10,30,7,General health,Whole Grains,None,1,5,550,12,2,2
Melon,45,0.9,11,0.2,General health,Fruits,None,9,0.9,5,27,1,1
Grilled Chicken Wrap,280,30,15,10,Weight loss,Protein-Rich Foods,None,3,2,450,15,2,2
Barley Salad Bowl,220,5,45,2,General health,Whole Grains,Vegetarian,0.5,8,15,3,2,2
Zucchini Noodles,30,2,5,0.3,Weight loss,Vegetables,None,1.8,1,10,16,2,2
Cashew Butter,190,5,8,16,Muscle gain,Nuts,None,2,2,0,0,2,2
Chickpea Fajita Bowl,260,12,40,5,General health,Vegetarian,None,5,10,400,10,2,2
Mango Pineapple Smoothie,110,1,28,0.5,General health,Fruits,None,20,2,5,30,1,1
Quinoa Stir-Fry,200,8,35,5,Weight loss,Vegetarian,None,3,8,350,10,2,2
Pecan Nuts,196,2.6,3.9,20,Muscle gain,Nuts,None,1.1,2.7,0,0,2,2
Cauliflower Rice Bowl,180,5,40,2,General health,Vegetarian,None,2,5,300,8,2,2
Dragon Fruit Bowl,80,2,18,0.5,General health,Fruits,None,12,5,2,15,1,1
Grilled Shrimp Skewers,160,22,5,8,Weight loss,Protein-Rich Foods,None,1,1,300,10,2,2
Millet Porridge,220,5,45,2,General health,Whole Grains,None,1,7,200,15,2,2
Broccoli Salad,35,3,6,0.4,Weight loss,Vegetables,None,1,2.5,30,65,2,2
Pistachio Butter,180,5,6,15,Muscle gain,Nuts,None,2,3,0,0,2,2
Chickpea Stir-Fry,240,10,35,6,General health,Vegetarian,None,5,9,400,15,2,2
Papaya Smoothie Bowl,120,2,30,0.5,General health,Fruits,None,18,3,5,25,1,1
Sweet Potato Bowl,250,6,50,3,General health,Vegetarian,None,8,10,450,20,2,2
Hazelnut Butter,180,4,3,18,Muscle gain,Nuts,None,1,2,0,0,2,2
Spaghetti Squash Pasta,180,5,40,2,General health,Whole Grains,Vegetarian,1,5,10,2,1,1
Apple Slices,52,0.3,14,0.2,Weight loss,Fruits,None,10,2,0,1,1,1
Grilled Turkey Burger,200,25,2,10,Weight loss,Protein-Rich Foods,None,0,0,80,15,2,2
Buckwheat Pancake Stack,220,7,45,1.5,General health,Whole Grains,None,5,3,200,2,2,2
Cabbage Slaw Bowl,60,1.5,15,0.2,Weight loss,Vegetables,None,4,3,10,35,2,2
Almond Yogurt,100,3,15,3,Muscle gain,Dairy,Lactose intolerant,8,1,50,10,1,1
Lentil Veggie Bowl,230,15,40,2,General health,Vegetarian,None,4,10,500,12,2,2
Mixed Berry Smoothie,110,2,25,0.5,General health,Fruits,None,18,3,5,20,1,1
Chickpea Avocado Salad,220,8,35,7,General health,Vegetarian,None,5,9,350,18,2,2
Walnut Butter,200,4.5,3,18,Muscle gain,Nuts,None,1,2,0,0,2,2
Cauliflower Gnocchi,190,5,35,1,General health,Vegetarian,None,2,8,300,15,2,2
Grapes,69,0.6,18,0.2,General health,Fruits,None,15,0.9,2,47,1,1
Grilled Chicken Skewers,180,26,3,8,Weight loss,Protein-Rich Foods,None,0,0,100,15,2,2
Quinoa Breakfast Bowl,240,8,45,4,General health,Whole Grains,None,1,7,300,6,1,1
Zucchini Fritters,120,5,15,6,Weight loss,Vegetables,None,2,3,250,10,2,2
Cashew Milk,60,1,8,3,Muscle gain,Nuts,Lactose intolerant,5,0.5,80,0,2,2
Chickpea Tomato Curry,250,12,30,5,General health,Vegetarian,None,8,10,450,20,2,2
Berry Chia Pudding,150,3,20,7,General health,Fruits,None,10,8,5,15,1,1
Spinach Quinoa Salad,180,6,30,5,General health,Vegetarian,None,3,7,350,20,2,2
Sun-Dried Tomato Pesto,160,2,6,16,Muscle gain,Nuts,None,2,3,300,2,1,1
Cauliflower Pizza,220,8,30,9,General health,Vegetarian,None,2,5,400,15,2,2
Pineapple,50,0.5,13,0.1,General health,Fruits,None,9,1.4,1,79,1,1
Turkey and Veggie Stir-Fry,200,24,8,9,Weight loss,Protein-Rich Foods,None,2,2,350,10,2,2
Quinoa Buddha Bowl,240,9,40,6,General health,Whole Grains,Vegetarian,1,8,200,10,2,2
Cucumber Rolls,30,1,6,0.5,Weight loss,Vegetables,None,1.5,1,10,25,2,2
Coconut Cream,120,1,1,13,Muscle gain,Nuts,None,1,0,15,0,2,2
Chickpea Spinach Curry,250,12,35,6,General health,Vegetarian,None,6,9,400,15,2,2
Blueberry Acai Bowl,130,2,30,1,General health,Fruits,None,15,5,10,25,1,1
Chickpea and Quinoa Bowl,230,9,38,5,General health,Vegetarian,None,4,9,300,15,2,2
Cashew Hummus,180,6,10,14,Muscle gain,Nuts,None,1,3,350,2,1,1
Spaghetti Squash Stir-Fry,190,5,40,2,General health,Vegetarian,None,2,6,250,10,2,2
Orange Slices,62,1.2,15,0.2,General health,Fruits,None,12,2.3,1,63,1,1
Salmon Salad with Avocado,220,24,10,10,Weight loss,Protein-Rich Foods,None,1,2,300,15,2,2
Millet Porridge Bowl,250,7,50,2,General health,Whole Grains,None,1,8,200,12,2,2
Grilled Eggplant,40,2,8,0.5,Weight loss,Vegetables,None,1.5,3,10,15,2,2
Hazelnut Milk,80,2,1,7,Muscle gain,Nuts,Lactose intolerant,6,0.5,50,2,2,2
Chickpea and Spinach Stew,220,11,30,4,General health,Vegetarian,None,5,8,400,18,2,2
Mixed Berry Parfait,150,3,25,4,General health,Fruits,None,15,5,5,30,1,1
Quinoa and Black Bean Bowl,250,10,45,4,General health,Vegetarian,None,2,10,400,18,2,2
Almond Pesto,160,3,5,14,Muscle gain,Nuts,None,1.5,2,250,6,1,1
Zucchini Noodles with Pesto,180,5,15,12,General health,Vegetarian,None,2,5,350,10,2,2
Kiwi Slices,61,1.1,14,0.5,General health,Fruits,None,9,2.1,2,51,1,1
Grilled Turkey and Veggie Wrap,220,26,10,8,Weight loss,Protein-Rich Foods,None,3,2,400,15,2,2
Farro and Vegetable Salad,210,6,40,3,General health,Whole Grains,None,1,7,300,8,2,2
Cauliflower and Broccoli Soup,45,3,8,0.5,Weight loss,Vegetables,None,2,3,250,15,2,2
Coconut Water,46,0.9,8.9,0.5,Muscle gain,Fruits,None,6,2.6,252,7,2,2
Chickpea and Tomato Pasta,240,12,30,5,General health,Vegetarian,None,8,10,450,20,2,2
Mixed Fruit Smoothie,110,2,25,0.5,General health,Fruits,None,18,3,5,25,1,1
Chickpea and Kale Salad,200,8,30,7,General health,Vegetarian,None,5,8,350,20,2,2
Peanut Butter,190,8,6,16,Muscle gain,Nuts,None,2,3,150,0,1,1
Mushroom and Spinach Risotto,220,7,45,4,General health,Vegetarian,None,1,5,400,15,2,2
Pear Slices,57,0.6,15,0.2,General health,Fruits,None,9,3.1,0,1,1,1
Grilled Chicken and Quinoa Bowl,240,28,15,9,Weight loss,Protein-Rich Foods,None,1,2,350,12,2,2
Brown Rice and Vegetable Stir-Fry,200,5,40,2,General health,Whole Grains,Vegetarian,2,6,300,10,2,2
Cucumber and Tomato Salad,30,1,6,0.3,Weight loss,Vegetables,None,1,1.5,15,20,2,2
Oat Milk,80,1,15,1,Muscle gain,Nuts,Lactose intolerant,5,1,50,15,2,2
Lentil and Quinoa Stew,230,13,30,5,General health,Vegetarian,None,6,9,400,18,2,2
Banana and Berry Smoothie,120,2,30,0.5,General health,Fruits,None,20,4,5,25,1,1
Quinoa and Chickpea Salad,220,10,35,5,General health,Vegetarian,None,4,8,300,15,2,2
Cashew and Basil Pesto,170,4,7,15,Muscle gain,Nuts,None,1.5,2,200,8,1,1
Sweet Potato Noodles,190,3,45,1,General health,Vegetarian,None,2,6,250,10,2,2
Mango Slices,60,0.6,15,0.4,General health,Fruits,None,13,1.6,0,60,1,1
Grilled Salmon and Asparagus,240,30,8,12,Weight loss,Protein-Rich Foods,None,1,2,400,18,2,2
Quinoa and Vegetable Stir-Fry,210,7,40,3,General health,Whole Grains,Vegetarian,1,7,350,10,2,2
Tomato and Cucumber Salsa,25,1,5,0.2,Weight loss,Vegetables,None,1,2,20,15,2,2
Hazelnut Milk,80,2,1,7,Muscle gain,Nuts,Lactose intolerant,6,0.5,50,2,2,2
Chickpea and Spinach Pasta,240,12,30,5,General health,Vegetarian,None,7,10,450,20,2,2
Pineapple and Mango Smoothie,110,1,28,0.5,General health,Fruits,None,18,3,5,20,1,1
Whole Wheat Bread,80,3,15,1,General health,Whole Grains,None,1,3,150,2,1,1
Milk,120,8,12,5,General health,Dairy,Lactose intolerant,10,0,120,30,2,2
Strawberry Jam,50,0,12,0,General health,Sweets,None,10,0.5,5,0,0,0
Peanut Butter Sandwich,300,10,30,15,General health,Protein-Rich Foods,None,3,5,350,2,1,1
Banana,105,1.3,27,0.3,General health,Fruits,None,14,3.1,1,22,1,1
Grilled Chicken Burger,350,25,30,15,Weight loss,Protein-Rich Foods,None,3,2,400,15,2,2
Vegetarian Pizza,250,10,35,8,General health,Vegetarian,None,2,5,350,10,2,2
Eggs,70,6,1,5,General health,Protein-Rich Foods,None,0.6,0,70,10,2,2
Avocado Toast,200,4,15,15,General health,Fats,None,1,7,200,6,2,2
Orange Juice,110,1,26,0.5,General health,Fruits,None,21,0.5,5,50,1,1
Oatmeal,150,5,27,2.5,General health,Whole Grains,None,0,4,0,10,2,2
Mango Smoothie,120,2,30,0.5,General health,Fruits,None,18,3,5,20,1,1
Chicken Sandwich,300,20,30,12,Weight loss,Protein-Rich Foods,None,3,2,400,15,2,2
Cheese Pizza,280,12,36,10,General health,Dairy,None,2,2,350,15,2,2
Apple,95,0.5,25,0.3,General health,Fruits,None,19,3.7,0,14,0.1,0.1
Pasta with Tomato Sauce,200,7,40,1,General health,Vegetarian,None,5,3,300,8,2,2
Yogurt,150,8,12,8,General health,Dairy,Lactose intolerant,10,0,100,30,2,2
Scrambled Eggs,140,14,1,9,General health,Protein-Rich Foods,None,0.6,0,140,15,2,2
Peanut Butter and Jelly Sandwich,350,10,45,15,General health,Sweets,None,15,3,300,0,1,1
Green Salad,50,2,10,0.5,Weight loss,Vegetables,None,2,3,50,20,2,2
Brown Rice,215,5,45,1.6,General health,Whole Grains,None,0,3.5,10,2,2,2
Coffee,2,0.3,0,0.1,General health,Beverages,Caffeine sensitive,0,0,5,0,0,0
Cheese Sandwich,320,15,30,15,Weight loss,Dairy,None,2,2,400,15,2,2
Margherita Pizza,220,10,25,10,General health,Vegetarian,None,2,3,300,12,1,1
Grapes,69,0.6,18,0.2,General health,Fruits,None,15,0.9,2,47,1,1
Spaghetti Bolognese,300,15,40,10,General health,Protein-Rich Foods,None,5,3,350,10,2,2
Milkshake,200,5,30,8,General health,Dairy,Lactose intolerant,20,1,150,25,1,1
Hard-Boiled Eggs,68,5,0.6,5,General health,Protein-Rich Foods,None,0.6,0,62,15,2,2
Peanut Butter Toast,180,7,20,10,Muscle gain,Nuts,None,2,3,150,0,1,1
Vegetable Stir-Fry,120,5,20,3,Weight loss,Vegetables,None,4,5,200,15,2,2
Salmon Sushi Roll,220,15,25,10,General health,Seafood,None,2,3,300,15,2,2
Green Tea,0,0,0,0,General health,Beverages,Caffeine sensitive,0,0,5,0,0,0
Turkey and Cheese Wrap,300,20,25,15,Weight loss,Dairy,None,2,3,400,10,2,2
Vegetarian Calzone,250,12,30,8,General health,Vegetarian,None,3,4,350,10,2,2
Apple Slices with Peanut Butter,180,5,20,10,Muscle gain,Nuts,None,8,4,50,2,2,2
Vegetable Lasagna,280,15,30,12,General health,Vegetarian,None,5,6,400,20,2,2
Iced Coffee,30,0.5,5,0,General health,Beverages,Caffeine sensitive,5,0,10,0,0,0
Greek Yogurt Parfait,200,15,20,8,General health,Dairy,Lactose intolerant,12,2,100,25,2,2
Cottage Cheese with Pineapple,150,14,10,6,General health,Dairy,None,10,0,180,15,2,2
Grilled Cheese Sandwich,320,15,30,15,Weight loss,Dairy,None,2,2,400,15,2,2
Baked Chicken Breast,165,31,0,3.6,General health,Protein-Rich Foods,None,0,0,70,0,2,2
Green Smoothie,100,2,25,0.5,General health,Fruits,None,15,5,10,50,1,1
Classic Hamburger,300,15,30,15,Weight loss,Protein-Rich Foods,None,3,2,400,10,2,2
Caprese Salad,150,8,10,10,General health,Vegetarian,None,3,2,200,15,2,2
Orange,62,1.2,15,0.2,General health,Fruits,None,12,2.3,1,63,1,1
Quinoa Salad,200,7,35,5,General health,Whole Grains,Vegetarian,2,5,250,10,2,2
Iced Tea,5,0,1,0,General health,Beverages,Caffeine sensitive,0,0,5,0,0,0
Plain Yogurt,100,10,5,5,General health,Dairy,Lactose intolerant,5,0,50,30,2,2
Peanut Butter and Banana Sandwich,350,10,45,15,General health,Sweets,None,15,3,300,0,1,1
Caesar Salad,250,15,10,18,Weight loss,Vegetables,None,2,4,300,20,2,2
Grilled Salmon,200,22,0,13,General health,Seafood,None,0,0,50,0,2,2
Black Coffee,2,0.2,0,0,General health,Beverages,Caffeine sensitive,0,0,5,0,0,0
Turkey Club Sandwich,350,25,20,18,Weight loss,Protein-Rich Foods,None,3,2,400,10,2,2
Margherita Flatbread,220,8,30,8,General health,Vegetarian,None,2,3,300,12,1,1
Grapes,69,0.6,18,0.2,General health,Fruits,None,15,0.9,2,47,1,1
Vegetable Stir-Fry,150,5,25,5,Weight loss,Vegetables,None,3,4,200,20,2,2
Iced Lemonade,80,0,20,0,General health,Beverages,None,18,0,10,10,0,0
Almond Milk,60,1,1,5,General health,Nuts,Lactose intolerant,0,1,50,30,2,2
Banana Smoothie,120,1,30,0.5,General health,Fruits,None,18,3,5,25,1,1
Peanut Butter Toast,180,7,20,10,Muscle gain,Nuts,None,2,3,150,0,1,1
Roast Chicken,250,30,0,15,General health,Protein-Rich Foods,None,0,0,80,0,2,2
Espresso,1,0.1,0,0,General health,Beverages,Caffeine sensitive,0,0,1,0,0,0
BLT Sandwich,400,15,30,25,Weight loss,Protein-Rich Foods,None,3,2,400,10,2,2
Vegetarian Wrap,280,12,35,10,General health,Vegetarian,None,2,4,350,12,1,1
Apple,95,0.5,25,0.3,General health,Fruits,None,19,3.7,0,14,0.1,0.1
Quinoa Bowl,300,10,40,12,General health,Whole Grains,Vegetarian,2,6,250,10,2,2
Iced Latte,60,1,6,3,General health,Beverages,Caffeine sensitive,6,0,20,0,0,0
Coconut Milk,80,1,1,7,General health,Nuts,Lactose intolerant,0,0,20,10,2,2
Fruit Salad,120,1,30,0.5,General health,Fruits,None,22,4,5,30,1,1
