Index,Age,Gender,Weight,Height,Fitness_Level,Exercise_Duration,Equipment,Goals,Exercise_Preference
301,29,Female,64,165,Intermediate,45 mins/day,Home,Weight Loss,Strength Training
302,27,Male,78,180,Intermediate,50 mins/day,Gym,Cardio,Muscle Gain
303,35,Female,68,167,Intermediate,35 mins/day,Outdoor,Cardio,Overall Fitness
304,30,Male,77,178,Intermediate,45 mins/day,Home,Weight Loss,Yoga
305,28,Female,62,163,Beginner,30 mins/day,Outdoor,Muscle Gain,Strength Training
306,32,Male,84,185,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
307,24,Female,58,160,Beginner,30 mins/day,Home,Cardio,Strength Training
308,31,Male,80,175,Advanced,60 mins/day,Outdoor,Weight Loss,Muscle Gain
309,29,Female,66,170,Intermediate,40 mins/day,Gym,Overall Fitness,Cardio
310,37,Male,90,188,Advanced,60 mins/day,Home,Overall Fitness,Muscle Gain
311,26,Female,59,165,Intermediate,45 mins/day,Outdoor,Weight Loss,Strength Training
312,33,Male,82,183,Advanced,60 mins/day,Gym,Muscle Gain,Yoga
313,28,Female,64,162,Beginner,30 mins/day,Home,Cardio,Overall Fitness
314,35,Male,88,190,Advanced,60 mins/day,Outdoor,Overall Fitness,Muscle Gain
315,24,Female,55,158,Beginner,30 mins/day,Outdoor,Cardio,Strength Training
316,36,Male,84,185,Advanced,60 mins/day,Gym,Weight Loss,Yoga
317,31,Female,61,167,Intermediate,45 mins/day,Home,Muscle Gain,Cardio
318,39,Male,87,186,Advanced,60 mins/day,Gym,Overall Fitness,Strength Training
319,28,Female,63,162,Beginner,30 mins/day,Outdoor,Cardio,Overall Fitness
320,33,Male,79,180,Intermediate,45 mins/day,Gym,Weight Loss,Strength Training
321,25,Female,60,163,Beginner,30 mins/day,Home,Cardio,Overall Fitness
322,30,Male,76,182,Intermediate,50 mins/day,Gym,Muscle Gain,Yoga
323,27,Female,61,165,Intermediate,35 mins/day,Outdoor,Weight Loss,Strength Training
324,39,Male,85,188,Advanced,60 mins/day,Home,Muscle Gain,Strength Training
325,22,Female,57,158,Beginner,30 mins/day,Outdoor,Cardio,Muscle Gain
326,38,Male,92,195,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
327,29,Female,64,165,Intermediate,45 mins/day,Home,Weight Loss,Strength Training
328,27,Male,78,180,Intermediate,50 mins/day,Gym,Cardio,Muscle Gain
329,35,Female,68,167,Intermediate,35 mins/day,Outdoor,Cardio,Overall Fitness
330,30,Male,77,178,Intermediate,45 mins/day,Home,Weight Loss,Yoga
331,28,Female,62,163,Beginner,30 mins/day,Outdoor,Muscle Gain,Strength Training
332,32,Male,84,185,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
333,24,Female,58,160,Beginner,30 mins/day,Home,Cardio,Strength Training
334,31,Male,80,175,Advanced,60 mins/day,Outdoor,Weight Loss,Muscle Gain
335,29,Female,66,170,Intermediate,40 mins/day,Gym,Overall Fitness,Cardio
336,37,Male,90,188,Advanced,60 mins/day,Home,Overall Fitness,Muscle Gain
337,26,Female,59,165,Intermediate,45 mins/day,Outdoor,Weight Loss,Strength Training
338,33,Male,82,183,Advanced,60 mins/day,Gym,Muscle Gain,Yoga
339,28,Female,64,162,Beginner,30 mins/day,Home,Cardio,Overall Fitness
340,35,Male,88,190,Advanced,60 mins/day,Outdoor,Overall Fitness,Muscle Gain
341,24,Female,55,158,Beginner,30 mins/day,Outdoor,Cardio,Strength Training
342,36,Male,84,185,Advanced,60 mins/day,Gym,Weight Loss,Yoga
343,31,Female,61,167,Intermediate,45 mins/day,Home,Muscle Gain,Cardio
344,39,Male,87,186,Advanced,60 mins/day,Gym,Overall Fitness,Strength Training
345,28,Female,63,162,Beginner,30 mins/day,Outdoor,Cardio,Overall Fitness
346,33,Male,79,180,Intermediate,45 mins/day,Gym,Weight Loss,Strength Training
347,25,Female,60,163,Beginner,30 mins/day,Home,Cardio,Overall Fitness
348,30,Male,76,182,Intermediate,50 mins/day,Gym,Muscle Gain,Yoga
349,27,Female,61,165,Intermediate,35 mins/day,Outdoor,Weight Loss,Strength Training
350,39,Male,85,188,Advanced,60 mins/day,Home,Muscle Gain,Strength Training
351,22,Female,57,158,Beginner,30 mins/day,Outdoor,Cardio,Muscle Gain
352,38,Male,92,195,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
353,29,Female,64,165,Intermediate,45 mins/day,Home,Weight Loss,Strength Training
354,27,Male,78,180,Intermediate,50 mins/day,Gym,Cardio,Muscle Gain
354,28,Female,64,162,Beginner,30 mins/day,Home,Cardio,Overall Fitness
355,35,Male,88,190,Advanced,60 mins/day,Outdoor,Overall Fitness,Muscle Gain
356,24,Female,55,158,Beginner,30 mins/day,Outdoor,Cardio,Strength Training
357,36,Male,84,185,Advanced,60 mins/day,Gym,Weight Loss,Yoga
358,31,Female,61,167,Intermediate,45 mins/day,Home,Muscle Gain,Cardio
359,39,Male,87,186,Advanced,60 mins/day,Gym,Overall Fitness,Strength Training
360,28,Female,63,162,Beginner,30 mins/day,Outdoor,Cardio,Overall Fitness
361,33,Male,79,180,Intermediate,45 mins/day,Gym,Weight Loss,Strength Training
362,25,Female,60,163,Beginner,30 mins/day,Home,Cardio,Overall Fitness
363,30,Male,76,182,Intermediate,50 mins/day,Gym,Muscle Gain,Yoga
364,27,Female,61,165,Intermediate,35 mins/day,Outdoor,Weight Loss,Strength Training
365,39,Male,85,188,Advanced,60 mins/day,Home,Muscle Gain,Strength Training
366,22,Female,57,158,Beginner,30 mins/day,Outdoor,Cardio,Muscle Gain
367,38,Male,92,195,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
368,29,Female,64,165,Intermediate,45 mins/day,Home,Weight Loss,Strength Training
369,27,Male,78,180,Intermediate,50 mins/day,Gym,Cardio,Muscle Gain
370,35,Female,68,167,Intermediate,35 mins/day,Outdoor,Cardio,Overall Fitness
371,30,Male,77,178,Intermediate,45 mins/day,Home,Weight Loss,Yoga
372,28,Female,62,163,Beginner,30 mins/day,Outdoor,Muscle Gain,Strength Training
373,32,Male,84,185,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
374,24,Female,58,160,Beginner,30 mins/day,Home,Cardio,Strength Training
375,31,Male,80,175,Advanced,60 mins/day,Outdoor,Weight Loss,Muscle Gain
376,29,Female,66,170,Intermediate,40 mins/day,Gym,Overall Fitness,Cardio
377,37,Male,90,188,Advanced,60 mins/day,Home,Overall Fitness,Muscle Gain
378,26,Female,59,165,Intermediate,45 mins/day,Outdoor,Weight Loss,Strength Training
379,33,Male,82,183,Advanced,60 mins/day,Gym,Muscle Gain,Yoga
380,28,Female,64,162,Beginner,30 mins/day,Home,Cardio,Overall Fitness
381,35,Male,88,190,Advanced,60 mins/day,Outdoor,Overall Fitness,Muscle Gain
382,24,Female,55,158,Beginner,30 mins/day,Outdoor,Cardio,Strength Training
383,36,Male,84,185,Advanced,60 mins/day,Gym,Weight Loss,Yoga
384,31,Female,61,167,Intermediate,45 mins/day,Home,Muscle Gain,Cardio
385,39,Male,87,186,Advanced,60 mins/day,Gym,Overall Fitness,Strength Training
386,28,Female,63,162,Beginner,30 mins/day,Outdoor,Cardio,Overall Fitness
387,33,Male,79,180,Intermediate,45 mins/day,Gym,Weight Loss,Strength Training
388,25,Female,60,163,Beginner,30 mins/day,Home,Cardio,Overall Fitness
389,30,Male,76,182,Intermediate,50 mins/day,Gym,Muscle Gain,Yoga
390,27,Female,61,165,Intermediate,35 mins/day,Outdoor,Weight Loss,Strength Training
391,39,Male,85,188,Advanced,60 mins/day,Home,Muscle Gain,Strength Training
392,22,Female,57,158,Beginner,30 mins/day,Outdoor,Cardio,Muscle Gain
393,38,Male,92,195,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
394,29,Female,64,165,Intermediate,45 mins/day,Home,Weight Loss,Strength Training
395,27,Male,78,180,Intermediate,50 mins/day,Gym,Cardio,Muscle Gain
396,35,Female,68,167,Intermediate,35 mins/day,Outdoor,Cardio,Overall Fitness
397,30,Male,77,178,Intermediate,45 mins/day,Home,Weight Loss,Yoga
398,28,Female,62,163,Beginner,30 mins/day,Outdoor,Muscle Gain,Strength Training
399,32,Male,84,185,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
400,24,Female,58,160,Beginner,30 mins/day,Home,Cardio,Strength Training
401,31,Male,80,175,Advanced,60 mins/day,Outdoor,Weight Loss,Muscle Gain
402,29,Female,66,170,Intermediate,40 mins/day,Gym,Overall Fitness,Cardio
403,37,Male,90,188,Advanced,60 mins/day,Home,Overall Fitness,Muscle Gain
404,26,Female,59,165,Intermediate,45 mins/day,Outdoor,Weight Loss,Strength Training
405,33,Male,82,183,Advanced,60 mins/day,Gym,Muscle Gain,Yoga
406,28,Female,64,162,Beginner,30 mins/day,Home,Cardio,Overall Fitness
407,35,Male,88,190,Advanced,60 mins/day,Outdoor,Overall Fitness,Muscle Gain
408,24,Female,55,158,Beginner,30 mins/day,Outdoor,Cardio,Strength Training
409,36,Male,84,185,Advanced,60 mins/day,Gym,Weight Loss,Yoga
410,31,Female,61,167,Intermediate,45 mins/day,Home,Muscle Gain,Cardio
411,39,Male,87,186,Advanced,60 mins/day,Gym,Overall Fitness,Strength Training
412,28,Female,63,162,Beginner,30 mins/day,Outdoor,Cardio,Overall Fitness
413,33,Male,79,180,Intermediate,45 mins/day,Gym,Weight Loss,Strength Training
414,25,Female,60,163,Beginner,30 mins/day,Home,Cardio,Overall Fitness
415,30,Male,76,182,Intermediate,50 mins/day,Gym,Muscle Gain,Yoga
416,27,Female,61,165,Intermediate,35 mins/day,Outdoor,Weight Loss,Strength Training
417,39,Male,85,188,Advanced,60 mins/day,Home,Muscle Gain,Strength Training
418,22,Female,57,158,Beginner,30 mins/day,Outdoor,Cardio,Muscle Gain
419,38,Male,92,195,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
420,29,Female,64,165,Intermediate,45 mins/day,Home,Weight Loss,Strength Training
421,27,Male,78,180,Intermediate,50 mins/day,Gym,Cardio,Muscle Gain
422,35,Female,68,167,Intermediate,35 mins/day,Outdoor,Cardio,Overall Fitness
423,30,Male,77,178,Intermediate,45 mins/day,Home,Weight Loss,Yoga
424,28,Female,62,163,Beginner,30 mins/day,Outdoor,Muscle Gain,Strength Training
425,32,Male,84,185,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
426,24,Female,58,160,Beginner,30 mins/day,Home,Cardio,Strength Training
427,31,Male,80,175,Advanced,60 mins/day,Outdoor,Weight Loss,Muscle Gain
428,29,Female,66,170,Intermediate,40 mins/day,Gym,Overall Fitness,Cardio
429,37,Male,90,188,Advanced,60 mins/day,Home,Overall Fitness,Muscle Gain
430,26,Female,59,165,Intermediate,45 mins/day,Outdoor,Weight Loss,Strength Training
431,33,Male,82,183,Advanced,60 mins/day,Gym,Muscle Gain,Yoga
432,28,Female,64,162,Beginner,30 mins/day,Home,Cardio,Overall Fitness
433,35,Male,88,190,Advanced,60 mins/day,Outdoor,Overall Fitness,Muscle Gain
434,24,Female,55,158,Beginner,30 mins/day,Outdoor,Cardio,Strength Training
435,36,Male,84,185,Advanced,60 mins/day,Gym,Weight Loss,Yoga
436,31,Female,61,167,Intermediate,45 mins/day,Home,Muscle Gain,Cardio
437,39,Male,87,186,Advanced,60 mins/day,Gym,Overall Fitness,Strength Training
438,28,Female,63,162,Beginner,30 mins/day,Outdoor,Cardio,Overall Fitness
439,33,Male,79,180,Intermediate,45 mins/day,Gym,Weight Loss,Strength Training
440,25,Female,60,163,Beginner,30 mins/day,Home,Cardio,Overall Fitness
441,30,Male,76,182,Intermediate,50 mins/day,Gym,Muscle Gain,Yoga
442,27,Female,61,165,Intermediate,35 mins/day,Outdoor,Weight Loss,Strength Training
443,39,Male,85,188,Advanced,60 mins/day,Home,Muscle Gain,Strength Training
444,22,Female,57,158,Beginner,30 mins/day,Outdoor,Cardio,Muscle Gain
445,26,Female,59,165,Intermediate,45 mins/day,Outdoor,Weight Loss,Strength Training
446,33,Male,82,183,Advanced,60 mins/day,Gym,Muscle Gain,Yoga
447,28,Female,64,162,Beginner,30 mins/day,Home,Cardio,Overall Fitness
448,35,Male,88,190,Advanced,60 mins/day,Outdoor,Overall Fitness,Muscle Gain
449,24,Female,55,158,Beginner,30 mins/day,Outdoor,Cardio,Strength Training
450,36,Male,84,185,Advanced,60 mins/day,Gym,Weight Loss,Yoga
451,31,Female,61,167,Intermediate,45 mins/day,Home,Muscle Gain,Cardio
452,39,Male,87,186,Advanced,60 mins/day,Gym,Overall Fitness,Strength Training
453,28,Female,63,162,Beginner,30 mins/day,Outdoor,Cardio,Overall Fitness
454,33,Male,79,180,Intermediate,45 mins/day,Gym,Weight Loss,Strength Training
455,25,Female,60,163,Beginner,30 mins/day,Home,Cardio,Overall Fitness
456,30,Male,76,182,Intermediate,50 mins/day,Gym,Muscle Gain,Yoga
457,27,Female,61,165,Intermediate,35 mins/day,Outdoor,Weight Loss,Strength Training
458,39,Male,85,188,Advanced,60 mins/day,Home,Muscle Gain,Strength Training
459,22,Female,57,158,Beginner,30 mins/day,Outdoor,Cardio,Muscle Gain
460,38,Male,92,195,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
461,29,Female,64,165,Intermediate,45 mins/day,Home,Weight Loss,Strength Training
462,27,Male,78,180,Intermediate,50 mins/day,Gym,Cardio,Muscle Gain
463,35,Female,68,167,Intermediate,35 mins/day,Outdoor,Cardio,Overall Fitness
464,30,Male,77,178,Intermediate,45 mins/day,Home,Weight Loss,Yoga
465,28,Female,62,163,Beginner,30 mins/day,Outdoor,Muscle Gain,Strength Training
466,32,Male,84,185,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
467,24,Female,58,160,Beginner,30 mins/day,Home,Cardio,Strength Training
468,31,Male,80,175,Advanced,60 mins/day,Outdoor,Weight Loss,Muscle Gain
469,29,Female,66,170,Intermediate,40 mins/day,Gym,Overall Fitness,Cardio
470,37,Male,90,188,Advanced,60 mins/day,Home,Overall Fitness,Muscle Gain
471,26,Female,59,165,Intermediate,45 mins/day,Outdoor,Weight Loss,Strength Training
472,33,Male,82,183,Advanced,60 mins/day,Gym,Muscle Gain,Yoga
473,28,Female,64,162,Beginner,30 mins/day,Home,Cardio,Overall Fitness
474,35,Male,88,190,Advanced,60 mins/day,Outdoor,Overall Fitness,Muscle Gain
475,24,Female,55,158,Beginner,30 mins/day,Outdoor,Cardio,Strength Training
476,36,Male,84,185,Advanced,60 mins/day,Gym,Weight Loss,Yoga
477,31,Female,61,167,Intermediate,45 mins/day,Home,Muscle Gain,Cardio
478,39,Male,87,186,Advanced,60 mins/day,Gym,Overall Fitness,Strength Training
479,28,Female,63,162,Beginner,30 mins/day,Outdoor,Cardio,Overall Fitness
480,33,Male,79,180,Intermediate,45 mins/day,Gym,Weight Loss,Strength Training
481,25,Female,60,163,Beginner,30 mins/day,Home,Cardio,Overall Fitness
482,30,Male,76,182,Intermediate,50 mins/day,Gym,Muscle Gain,Yoga
483,27,Female,61,165,Intermediate,35 mins/day,Outdoor,Weight Loss,Strength Training
484,39,Male,85,188,Advanced,60 mins/day,Home,Muscle Gain,Strength Training
485,22,Female,57,158,Beginner,30 mins/day,Outdoor,Cardio,Muscle Gain
486,38,Male,92,195,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
487,29,Female,64,165,Intermediate,45 mins/day,Home,Weight Loss,Strength Training
488,27,Male,78,180,Intermediate,50 mins/day,Gym,Cardio,Muscle Gain
489,35,Female,68,167,Intermediate,35 mins/day,Outdoor,Cardio,Overall Fitness
490,30,Male,77,178,Intermediate,45 mins/day,Home,Weight Loss,Yoga
491,28,Female,62,163,Beginner,30 mins/day,Outdoor,Muscle Gain,Strength Training
492,32,Male,84,185,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
493,24,Female,58,160,Beginner,30 mins/day,Home,Cardio,Strength Training
494,31,Male,80,175,Advanced,60 mins/day,Outdoor,Weight Loss,Muscle Gain
495,29,Female,66,170,Intermediate,40 mins/day,Gym,Overall Fitness,Cardio
496,37,Male,90,188,Advanced,60 mins/day,Home,Overall Fitness,Muscle Gain
497,26,Female,59,165,Intermediate,45 mins/day,Outdoor,Weight Loss,Strength Training
498,33,Male,82,183,Advanced,60 mins/day,Gym,Muscle Gain,Yoga
499,28,Female,64,162,Beginner,30 mins/day,Home,Cardio,Overall Fitness
500,35,Male,88,190,Advanced,60 mins/day,Outdoor,Overall Fitness,Muscle Gain
501,24,Female,55,158,Beginner,30 mins/day,Outdoor,Cardio,Strength Training
502,36,Male,84,185,Advanced,60 mins/day,Gym,Weight Loss,Yoga
503,31,Female,61,167,Intermediate,45 mins/day,Home,Muscle Gain,Cardio
504,39,Male,87,186,Advanced,60 mins/day,Gym,Overall Fitness,Strength Training
505,28,Female,63,162,Beginner,30 mins/day,Outdoor,Cardio,Overall Fitness
506,33,Male,79,180,Intermediate,45 mins/day,Gym,Weight Loss,Strength Training
507,25,Female,60,163,Beginner,30 mins/day,Home,Cardio,Overall Fitness
508,30,Male,76,182,Intermediate,50 mins/day,Gym,Muscle Gain,Yoga
509,27,Female,61,165,Intermediate,35 mins/day,Outdoor,Weight Loss,Strength Training
510,39,Male,85,188,Advanced,60 mins/day,Home,Muscle Gain,Strength Training
511,22,Female,57,158,Beginner,30 mins/day,Outdoor,Cardio,Muscle Gain
512,38,Male,92,195,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
513,29,Female,64,165,Intermediate,45 mins/day,Home,Weight Loss,Strength Training
514,27,Male,78,180,Intermediate,50 mins/day,Gym,Cardio,Muscle Gain
515,35,Female,68,167,Intermediate,35 mins/day,Outdoor,Cardio,Overall Fitness
516,30,Male,77,178,Intermediate,45 mins/day,Home,Weight Loss,Yoga
517,28,Female,62,163,Beginner,30 mins/day,Outdoor,Muscle Gain,Strength Training
518,32,Male,84,185,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
519,24,Female,58,160,Beginner,30 mins/day,Home,Cardio,Strength Training
520,31,Male,80,175,Advanced,60 mins/day,Outdoor,Weight Loss,Muscle Gain
521,29,Female,66,170,Intermediate,40 mins/day,Gym,Overall Fitness,Cardio
522,37,Male,90,188,Advanced,60 mins/day,Home,Overall Fitness,Muscle Gain
523,26,Female,59,165,Intermediate,45 mins/day,Outdoor,Weight Loss,Strength Training
524,33,Male,82,183,Advanced,60 mins/day,Gym,Muscle Gain,Yoga
525,28,Female,64,162,Beginner,30 mins/day,Home,Cardio,Overall Fitness
526,35,Male,88,190,Advanced,60 mins/day,Outdoor,Overall Fitness,Muscle Gain
527,24,Female,55,158,Beginner,30 mins/day,Outdoor,Cardio,Strength Training
528,36,Male,84,185,Advanced,60 mins/day,Gym,Weight Loss,Yoga
529,31,Female,61,167,Intermediate,45 mins/day,Home,Muscle Gain,Cardio
530,39,Male,87,186,Advanced,60 mins/day,Gym,Overall Fitness,Strength Training
531,28,Female,63,162,Beginner,30 mins/day,Outdoor,Cardio,Overall Fitness
532,33,Male,79,180,Intermediate,45 mins/day,Gym,Weight Loss,Strength Training
533,25,Female,60,163,Beginner,30 mins/day,Home,Cardio,Overall Fitness
534,30,Male,76,182,Intermediate,50 mins/day,Gym,Muscle Gain,Yoga
535,27,Female,61,165,Intermediate,35 mins/day,Outdoor,Weight Loss,Strength Training
536,39,Male,85,188,Advanced,60 mins/day,Home,Muscle Gain,Strength Training
537,22,Female,57,158,Beginner,30 mins/day,Outdoor,Cardio,Muscle Gain
538,38,Male,92,195,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
539,29,Female,64,165,Intermediate,45 mins/day,Home,Weight Loss,Strength Training
540,27,Male,78,180,Intermediate,50 mins/day,Gym,Cardio,Muscle Gain
541,35,Female,68,167,Intermediate,35 mins/day,Outdoor,Cardio,Overall Fitness
542,30,Male,77,178,Intermediate,45 mins/day,Home,Weight Loss,Yoga
543,28,Female,62,163,Beginner,30 mins/day,Outdoor,Muscle Gain,Strength Training
544,32,Male,84,185,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
545,24,Female,58,160,Beginner,30 mins/day,Home,Cardio,Strength Training
546,31,Male,80,175,Advanced,60 mins/day,Outdoor,Weight Loss,Muscle Gain
547,29,Female,66,170,Intermediate,40 mins/day,Gym,Overall Fitness,Cardio
548,37,Male,90,188,Advanced,60 mins/day,Home,Overall Fitness,Muscle Gain
549,26,Female,59,165,Intermediate,45 mins/day,Outdoor,Weight Loss,Strength Training
550,33,Male,82,183,Advanced,60 mins/day,Gym,Muscle Gain,Yoga
551,28,Female,64,162,Beginner,30 mins/day,Home,Cardio,Overall Fitness
552,35,Male,88,190,Advanced,60 mins/day,Outdoor,Overall Fitness,Muscle Gain
553,24,Female,55,158,Beginner,30 mins/day,Outdoor,Cardio,Strength Training
554,36,Male,84,185,Advanced,60 mins/day,Gym,Weight Loss,Yoga
555,31,Female,61,167,Intermediate,45 mins/day,Home,Muscle Gain,Cardio
556,39,Male,87,186,Advanced,60 mins/day,Gym,Overall Fitness,Strength Training
557,28,Female,63,162,Beginner,30 mins/day,Outdoor,Cardio,Overall Fitness
558,33,Male,79,180,Intermediate,45 mins/day,Gym,Weight Loss,Strength Training
559,25,Female,60,163,Beginner,30 mins/day,Home,Cardio,Overall Fitness
560,30,Male,76,182,Intermediate,50 mins/day,Gym,Muscle Gain,Yoga
561,27,Female,61,165,Intermediate,35 mins/day,Outdoor,Weight Loss,Strength Training
562,39,Male,85,188,Advanced,60 mins/day,Home,Muscle Gain,Strength Training
563,22,Female,57,158,Beginner,30 mins/day,Outdoor,Cardio,Muscle Gain
564,38,Male,92,195,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
565,29,Female,64,165,Intermediate,45 mins/day,Home,Weight Loss,Strength Training
566,27,Male,78,180,Intermediate,50 mins/day,Gym,Cardio,Muscle Gain
567,35,Female,68,167,Intermediate,35 mins/day,Outdoor,Cardio,Overall Fitness
568,30,Male,77,178,Intermediate,45 mins/day,Home,Weight Loss,Yoga
569,28,Female,62,163,Beginner,30 mins/day,Outdoor,Muscle Gain,Strength Training
570,32,Male,84,185,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
571,24,Female,58,160,Beginner,30 mins/day,Home,Cardio,Strength Training
572,31,Male,80,175,Advanced,60 mins/day,Outdoor,Weight Loss,Muscle Gain
573,29,Female,66,170,Intermediate,40 mins/day,Gym,Overall Fitness,Cardio
574,37,Male,90,188,Advanced,60 mins/day,Home,Overall Fitness,Muscle Gain
575,26,Female,59,165,Intermediate,45 mins/day,Outdoor,Weight Loss,Strength Training
576,33,Male,82,183,Advanced,60 mins/day,Gym,Muscle Gain,Yoga
577,28,Female,64,162,Beginner,30 mins/day,Home,Cardio,Overall Fitness
578,35,Male,88,190,Advanced,60 mins/day,Outdoor,Overall Fitness,Muscle Gain
579,24,Female,55,158,Beginner,30 mins/day,Outdoor,Cardio,Strength Training
580,36,Male,84,185,Advanced,60 mins/day,Gym,Weight Loss,Yoga
581,31,Female,61,167,Intermediate,45 mins/day,Home,Muscle Gain,Cardio
582,39,Male,87,186,Advanced,60 mins/day,Gym,Overall Fitness,Strength Training
583,28,Female,63,162,Beginner,30 mins/day,Outdoor,Cardio,Overall Fitness
584,33,Male,79,180,Intermediate,45 mins/day,Gym,Weight Loss,Strength Training
585,25,Female,60,163,Beginner,30 mins/day,Home,Cardio,Overall Fitness
586,30,Male,76,182,Intermediate,50 mins/day,Gym,Muscle Gain,Yoga
587,27,Female,61,165,Intermediate,35 mins/day,Outdoor,Weight Loss,Strength Training
588,39,Male,85,188,Advanced,60 mins/day,Home,Muscle Gain,Strength Training
589,22,Female,57,158,Beginner,30 mins/day,Outdoor,Cardio,Muscle Gain
590,38,Male,92,195,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
591,29,Female,64,165,Intermediate,45 mins/day,Home,Weight Loss,Strength Training
592,27,Male,78,180,Intermediate,50 mins/day,Gym,Cardio,Muscle Gain
593,35,Female,68,167,Intermediate,35 mins/day,Outdoor,Cardio,Overall Fitness
594,30,Male,77,178,Intermediate,45 mins/day,Home,Weight Loss,Yoga
595,28,Female,62,163,Beginner,30 mins/day,Outdoor,Muscle Gain,Strength Training
596,32,Male,84,185,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
597,24,Female,58,160,Beginner,30 mins/day,Home,Cardio,Strength Training
598,31,Male,80,175,Advanced,60 mins/day,Outdoor,Weight Loss,Muscle Gain
599,29,Female,66,170,Intermediate,40 mins/day,Gym,Overall Fitness,Cardio
600,37,Male,90,188,Advanced,60 mins/day,Home,Overall Fitness,Muscle Gain
