Food,Calories,Protein(g),Carbs(g),Fat(g),Category,Type_of_Diet,Disease_Help
Apple,95,0.5,25,0.3,Fruit,Vegetarian,Heart Health
Chicken Breast (grilled),165,31,0,3.6,Meat,High Protein,Weight Management
Broccoli,55,3.7,11.2,0.6,Vegetable,Vegetarian,Immune Support
Whole Wheat Bread,69,2.2,12.4,1,Grain,Vegetarian,Heart Health
Salmon (baked),206,22,0,13,Fish,High Protein,Brain Health
Lentils (cooked),230,18,40,1,Vegetarian,Vegan,Diabetes Management
Tomato Soup,74,2,13,1.8,Soup,Vegetarian,Immune Support
Almonds,7,3,6,14,Nuts,Vegetarian,Heart Health
Quinoa (cooked),222,8,39,4,Grain,Vegetarian,Weight Management
Greek Yogurt,59,10,3.6,0.4,Dairy,High Protein,Bone Health
Orange,62,1.2,15,0.2,Fruit,Vegetarian,Immune Support
Salad (Mixed Greens),20,1,4,0.2,Vegetable,Vegan,Weight Management
Whole Grain Pasta (cooked),174,7,37,1,Grain,Vegetarian,Heart Health
Salmon (smoked),130,17,0,6,Fish,High Protein,Brain Health
Chickpeas (cooked),164,8,27,3,Vegetarian,Vegan,Diabetes Management
Carrot Soup,45,1,10,0.3,Soup,Vegetarian,Eye Health
Walnuts,185,4,4,18,Nuts,Vegetarian,Heart Health
Brown Rice (cooked),215,5,45,1.6,Grain,Vegetarian,Weight Management
Mango,60,0.8,15,0.4,Fruit,Vegetarian,Immune Support
Spinach,23,2.9,3.6,0.4,Vegetable,Vegan,Bone Health
Eggs (boiled),68,5.5,0.6,4.8,Dairy,High Protein,Brain Health
Black Beans (cooked),114,7.6,20.4,0.5,Vegetarian,Vegan,Heart Health
Oatmeal,154,3.4,27,2.2,Grain,Vegetarian,Weight Management
Cauliflower (roasted),55,2.1,11,0.5,Vegetable,Vegan,Immune Support
Avocado,160,2,9,15,Fruit,Vegetarian,Heart Health
Tofu (grilled),144,15,3.9,8.2,Vegetarian,Vegan,Bone Health
Pineapple,50,0.5,13,0.1,Fruit,Vegetarian,Immune Support
Turkey Breast (roasted),135,30,0,1,Meat,High Protein,Weight Management
Cabbage (steamed),22,1.3,5,0.1,Vegetable,Vegan,Heart Health
Quinoa Salad,120,4,20,3,Grain,Vegetarian,Weight Management
Sardines (canned),191,25,0,10,Fish,High Protein,Brain Health
Kidney Beans (cooked),215,13,40,0.8,Vegetarian,Vegan,Diabetes Management
Sweet Potato Soup,90,1,20,0.5,Soup,Vegetarian,Immune Support
Cashews,155,5.1,9.2,12.4,Nuts,Vegetarian,Heart Health
Spaghetti (whole wheat, cooked),174,7.5,37.2,1.3,Grain,Vegetarian
Papaya,59,0.5,15,0.4,Fruit,Vegetarian,Immune Support
Kale,33,2.9,6.7,0.6,Vegetable,Vegan,Bone Health
Yogurt (plain),61,3.5,4.7,3.3,Dairy,High Protein,Gut Health
Black-Eyed Peas (cooked),160,6.7,30.4,1,Vegetarian,Vegan,Heart Health
Buckwheat Pancakes,154,5,33,1.3,Grain,Vegetarian,Weight Management
Zucchini (grilled),17,1.4,3.1,0.2,Vegetable,Vegan,Heart Health
Pistachios,156,6,8,12.7,Nuts,Vegetarian,Heart Health
Wild Rice (cooked),166,6.5,35.4,0.6,Grain,Vegetarian,Weight Management
Dragon Fruit,60,2,13,1,Fruit,Vegetarian,Immune Support
Arugula,25,2.6,3.7,0.7,Vegetable,Vegan,Bone Health
Eggs (scrambled),91,6.7,1.1,6.7,Dairy,High Protein,Brain Health
Chickpea Salad,180,7,30,5,Vegetarian,Vegan,Diabetes Management
Steel-Cut Oats,170,7,29,3,Grain,Vegetarian,Weight Management
Peach,59,1.4,15,0.4,Fruit,Vegetarian,Immune Support
Turkey Sandwich,320,20,40,8.5,Meat,Balanced Diet,Energy Boost
Asparagus (roasted),32,3,6,0.4,Vegetable,Vegan,Bone Health
Couscous Salad,180,6,35,2,Grain,Vegetarian,Weight Management
Mackerel (grilled),250,28,0,15,Fish,High Protein,Heart Health
Edamame (steamed),121,11,9,5,Vegetarian,Vegan,Bone Health
Butternut Squash Soup,90,1,23,0.3,Soup,Vegetarian,Immune Support
Pecans,196,2.6,4,20.4,Nuts,Vegetarian,Heart Health
Rye Bread,83,2.7,15,0.9,Grain,Vegetarian,Heart Health
Guava,68,2.6,14,0.9,Fruit,Vegetarian,Immune Support
Beetroot Salad,43,1.6,9,0.2,Vegetable,Vegan,Heart Health
Cottage Cheese,206,28,6,8,Dairy,High Protein,Bone Health
Lima Beans (cooked),115,7,20,0.5,Vegetarian,Vegan,Diabetes Management
Granola Bar,190,4,30,7,Grain,Vegetarian,Weight Management
Brussels Sprouts (steamed),38,3,8,0.3,Vegetable,Vegan,Immune Support
Brazil Nuts,182,4,3.3,18,Nuts,Vegetarian,Heart Health
Barley (cooked),193,3.5,44,0.7,Grain,Vegetarian,Weight Management
Dragon Fruit Smoothie,120,2,25,1.5,Fruit,Vegetarian,Immune Support
Swiss Chard,19,1.6,3.7,0.2,Vegetable,Vegan,Bone Health
Eggs Benedict,524,21,26,38,Dairy,High Protein,Brain Health
Black Rice (cooked),215,5,45,1.6,Grain,Vegetarian,Weight Management
Grapes,69,0.6,18,0.2,Fruit,Vegetarian,Immune Support
Salmon Sushi Roll,200,10,30,5,Fish,High Protein,Brain Health
Cucumber Salad,15,1,3,0.2,Vegetable,Vegan,Weight Management
Farro (cooked),170,7,35,1,Grain,Vegetarian,Heart Health
Trout (baked),195,22,0,12,Fish,High Protein,Heart Health
Chia Seeds Pudding,160,5,15,10,Seed,Vegan,Weight Management
Minestrone Soup,120,5,20,2,Soup,Vegetarian,Immune Support
Macadamia Nuts,200,2,5,21,Nuts,Vegetarian,Heart Health
Spelt Bread,82,3,15,1,Grain,Vegetarian,Heart Health
Kiwi Smoothie,120,2,30,1,Fruit,Vegetarian,Immune Support
Sweet Potato Fries,180,2,25,9,Vegetable,Vegan,Heart Health
Cottage Cheese with Pineapple,230,28,15,4,Dairy,High Protein,Bone Health
Black Lentils (cooked),140,13,30,0.5,Vegetarian,Vegan,Diabetes Management
Trail Mix,180,4,20,10,Snack,Vegetarian,Energy Boost
Roasted Cauliflower,45,2,10,0.5,Vegetable,Vegan,Immune Support
Hazelnuts,180,4,5,17,Nuts,Vegetarian,Heart Health
Buckwheat Noodles,155,5,32,1,Grain,Vegetarian,Weight Management
Mango Sorbet,120,1,30,0,Fruit,Vegetarian,Immune Support
Asparagus Salad,30,3,5,0.2,Vegetable,Vegan,Heart Health
Egg White Omelette,150,25,2,4,Dairy,High Protein,Weight Management
Wild Salmon,206,22,0,13,Fish,High Protein,Brain Health
Pomegranate,83,1.7,18.7,1.2,Fruit,Vegetarian,Heart Health
Shrimp Stir-Fry,230,30,15,7,Seafood,High Protein,Weight Management
Artichoke (steamed),60,3.5,13,0.2,Vegetable,Vegan,Digestive Health
Quinoa Bowl,300,12,50,8,Grain,Vegetarian,Weight Management
Tuna Salad,220,20,2,15,Seafood,High Protein,Brain Health
Hummus,25,2,2,2,Vegetarian,Vegan,Heart Health
Chicken Noodle Soup,120,10,15,3,Soup,Low Carb,Immune Support
Pistachio Nuts,160,6,8,13,Nuts,Vegetarian,Heart Health
Sourdough Bread,120,4,25,1,Grain,Vegetarian,Heart Health
Watermelon Salad,30,0.5,8,0.2,Fruit,Vegetarian,Hydration
Eggplant (grilled),35,1,9,0.2,Vegetable,Vegan,Heart Health
Greek Yogurt Parfait,180,15,20,5,Dairy,High Protein,Gut Health
Pinto Beans (cooked),245,15,45,1,Vegetarian,Vegan,Diabetes Management
Dark Chocolate,150,2,15,10,Dessert,Vegetarian,Heart Health
Roasted Brussel Sprouts,50,3,11,0.5,Vegetable,Vegan,Immune Support
Almond Butter,98,3.4,3,8.5,Nuts,Vegetarian,Heart Health
Bulgur (cooked),151,5.6,34.6,0.4,Grain,Vegetarian,Weight Management
Berry Smoothie,120,2,30,1,Fruit,Vegetarian,Immune Support
Cucumber Rolls,40,2,8,0.5,Vegetable,Vegan,Weight Management
Omelette with Spinach,180,18,2,10,Dairy,High Protein,Brain Health
Halibut,180,24,0,8,Seafood,High Protein,Heart Health
Kiwi,61,1.1,15,0.5,Fruit,Vegetarian,Immune Support
Grilled Swordfish,200,25,0,10,Seafood,High Protein,Heart Health
Spinach Salad,20,2.5,3,0.3,Vegetable,Vegan,Weight Management
Buckwheat Pancakes,180,5,38,1.5,Grain,Vegetarian,Heart Health
Tilapia (baked),170,21,0,9,Seafood,High Protein,Heart Health
Chickpea Curry,220,9,34,6,Vegetarian,Vegan,Diabetes Management
Tomato Basil Bruschetta,70,2,14,1.5,Appetizer,Vegan,Immune Support
Walnut Salad,180,5,10,15,Nuts,Vegetarian,Heart Health
Multigrain Bagel,250,12,50,2.5,Grain,Vegetarian,Heart Health
Papaya Smoothie,100,1,25,0.5,Fruit,Vegetarian,Immune Support
Zucchini Noodles,20,1,4,0.3,Vegetable,Vegan,Weight Management
Cottage Cheese with Berries,180,20,15,3,Dairy,High Protein,Bone Health
Black Quinoa (cooked),200,8,40,3,Grain,Vegetarian,Weight Management
Fruit Salad,80,1,20,0.5,Fruit,Vegetarian,Immune Support
Roasted Sweet Potatoes,90,1,20,0.2,Vegetable,Vegan,Heart Health
Cashew Butter,94,3.7,8,6.5,Nuts,Vegetarian,Heart Health
Barley Salad,120,4,25,1,Grain,Vegetarian,Weight Management
Berry Parfait,150,3,30,2,Fruit,Vegetarian,Immune Support
Stuffed Bell Peppers,200,8,30,5,Vegetarian,Vegan,Heart Health
Mushroom Risotto,250,7,45,7,Grain,Vegetarian,Weight Management
Dragon Fruit,60,2,13,1,Fruit,Vegetarian,Immune Support
Grilled Tofu,150,15,5,8,Vegetarian,Vegan,Bone Health
Cauliflower Rice,25,2,5,0.3,Vegetable,Vegan,Weight Management
Quinoa and Black Bean Bowl,300,12,50,7,Vegetarian,Vegan,Diabetes Management
Smoked Trout,180,22,0,9,Seafood,High Protein,Heart Health
Chia Seed Pudding,160,5,15,10,Seed,Vegan,Weight Management
Minestrone Soup,120,5,20,2,Soup,Vegetarian,Immune Support
Mixed Nuts,200,5,7,15,Nuts,Vegetarian,Heart Health
Whole Grain Baguette,180,5,40,1,Grain,Vegetarian,Heart Health
Pineapple Smoothie,120,2,30,0.5,Fruit,Vegetarian,Immune Support
Zoodles (Zucchini Noodles),20,1,4,0.3,Vegetable,Vegan,Weight Management
Greek Yogurt with Honey,150,15,10,5,Dairy,High Protein,Gut Health
Black-Eyed Pea Salad,180,8,30,4,Vegetarian,Vegan,Diabetes Management
Trail Mix,200,5,20,10,Snack,Vegetarian,Energy Boost
Roasted Brussels Sprouts,50,3,11,0.5,Vegetable,Vegan,Immune Support
Pistachio Ice Cream,200,3,25,10,Dessert,Vegetarian,Heart Health
Barley Risotto,220,5,45,5,Grain,Vegetarian,Weight Management
Mixed Berry Smoothie,120,2,30,1,Fruit,Vegetarian,Immune Support
Stuffed Mushrooms,120,5,15,4,Vegetarian,Vegan,Heart Health
Pumpkin Soup,90,2,20,1,Soup,Vegetarian,Immune Support
Mango,60,0.8,15,0.4,Fruit,Vegetarian,Immune Support
Sesame-Crusted Tuna,200,25,5,10,Seafood,High Protein,Heart Health
Brussels Sprouts Salad,40,3,8,0.5,Vegetable,Vegan,Weight Management
Wild Rice Salad,150,3,30,2,Grain,Vegetarian,Heart Health
Grilled Mackerel,220,22,0,15,Seafood,High Protein,Brain Health
Vegan Lentil Stew,180,10,30,2,Vegetarian,Vegan,Diabetes Management
Gazpacho,50,1,12,0.5,Soup,Vegetarian,Immune Support
Mixed Seeds (Chia, Flax, Sunflower),160,5,10,12,Seed
Whole Wheat English Muffin,120,5,25,1,Grain,Vegetarian,Heart Health
Kiwi Sorbet,100,1,25,0.5,Fruit,Vegetarian,Immune Support
Eggplant Parmesan,300,10,25,18,Vegetarian,Vegan,Heart Health
Probiotic Yogurt,70,5,8,2,Dairy,High Protein,Gut Health
Red Lentil Curry,250,15,40,3,Vegetarian,Vegan,Diabetes Management
Mixed Dried Fruits,120,2,30,0.5,Snack,Vegetarian,Energy Boost
Roasted Asparagus,30,3,5,0.2,Vegetable,Vegan,Immune Support
Pecan Pie,300,4,30,20,Dessert,Vegetarian,Heart Health
Whole Grain Tortilla,80,2,15,1,Grain,Vegetarian,Heart Health
Berry Cobbler,200,2,40,5,Dessert,Vegetarian,Weight Management
Stuffed Bell Peppers,150,7,25,2,Vegetarian,Vegan,Heart Health
Butternut Squash Risotto,220,5,45,4,Grain,Vegetarian,Weight Management
Cantaloupe,50,1,12,0.3,Fruit,Vegetarian,Immune Support
Salmon Teriyaki,250,25,10,12,Seafood,High Protein,Heart Health
Cabbage Slaw,35,1,8,0.2,Vegetable,Vegan,Weight Management
Brown Rice Bowl,200,5,40,2,Grain,Vegetarian,Heart Health
Baked Haddock,180,20,0,10,Seafood,High Protein,Heart Health
Quinoa and Chickpea Salad,280,10,45,8,Vegetarian,Vegan,Diabetes Management
Lentil Soup,120,7,20,1,Soup,Vegetarian,Immune Support
Mixed Nuts and Berries,180,5,15,12,Snack,Vegetarian,Energy Boost
Sourdough Pizza,220,8,30,9,Grain,Vegetarian,Heart Health
Papaya Lassi,120,3,25,1,Fruit,Vegetarian,Immune Support
Cauliflower Buffalo Bites,150,4,15,9,Vegetarian,Vegan,Heart Health
Coconut Yogurt Parfait,180,5,20,10,Dairy,Vegan,Gut Health
Black Bean Enchiladas,300,12,40,10,Vegetarian,Vegan,Diabetes Management
Dried Mango Slices,120,2,30,0.5,Snack,Vegetarian,Energy Boost
Grilled Eggplant,30,1,7,0.2,Vegetable,Vegan,Heart Health
Avocado Chocolate Mousse,150,2,15,10,Dessert,Vegan,Heart Health
Whole Wheat Pita,100,5,20,1,Grain,Vegetarian,Heart Health
Mixed Berry Sorbet,120,1,30,0.5,Dessert,Vegetarian,Immune Support
Stuffed Portobello Mushrooms,120,6,15,5,Vegetarian,Vegan,Heart Health
Quinoa Stuffed Peppers,180,8,35,3,Grain,Vegetarian,Weight Management
Chicken Curry,300,25,10,15,Meat,Balanced Diet,Energy Boost
Biryani,500,20,50,25,Grain,Non-Vegetarian,Heart Health
Paneer Tikka Masala,350,15,20,18,Dairy,Vegetarian,Immune Support
Dal Tadka,200,10,20,10,Lentil,Vegetarian,Diabetes Management
Aloo Gobi,180,5,25,8,Vegetable,Vegan,Weight Management
Samosa,200,5,15,12,Snack,Vegetarian,Immune Support
Butter Chicken,450,30,15,25,Meat,Balanced Diet,Energy Boost
Rajma Chawal,350,15,45,10,Lentil,Vegetarian,Heart Health
Dhokla,120,5,20,3,Snack,Vegan,Weight Management
Bhindi Masala,80,3,12,4,Vegetable,Vegan,Diabetes Management
Pav Bhaji,400,10,60,20,Vegetable,Vegetarian,Heart Health
Fish Curry,300,20,15,18,Seafood,High Protein,Heart Health
Vegetable Pulao,250,5,45,8,Grain,Vegetarian,Weight Management
Mango Lassi,200,5,30,8,Beverage,Vegetarian,Immune Support
Aam Ras,150,2,35,1,Dessert,Vegetarian,Energy Boost
Kheer,180,4,30,6,Dessert,Vegetarian,Bone Health
Gulab Jamun,150,2,25,8,Dessert,Vegetarian,Energy Boost
Jalebi,250,3,40,10,Dessert,Vegetarian,Diabetes Management
Kofta Curry,350,15,25,22,Meat,Balanced Diet,Energy Boost
Pesarattu,200,10,30,5,Grain,Vegan,Weight Management
Chole Bhature,500,15,40,25,Vegetarian,Non-Vegan,Heart Health
Chicken Biryani,600,30,50,30,Meat,Non-Vegetarian,Energy Boost
Masoor Dal,120,7,18,3,Vegetarian,Vegan,Diabetes Management
Aloo Paratha,300,8,40,15,Vegetarian,Non-Vegan,Weight Management
Bhindi Masala,80,3,12,4,Vegetarian,Vegan,Heart Health
Pav Bhaji,400,10,60,20,Vegetarian,Non-Vegan,Immune Support
Fish Curry,300,20,15,18,Seafood,Non-Vegetarian,Heart Health
Pulao,250,5,45,8,Grain,Vegetarian,Weight Management
Mango Lassi,200,5,30,8,Beverage,Vegetarian,Immune Support
Aam Ras,150,2,35,1,Dessert,Vegetarian,Energy Boost
Kheer,180,4,30,6,Dessert,Vegetarian,Bone Health
Gulab Jamun,150,2,25,8,Dessert,Vegetarian,Energy Boost
Jalebi,250,3,40,10,Dessert,Vegetarian,Diabetes Management
Kofta Curry,350,15,25,22,Vegetarian,Non-Vegan,Energy Boost
Bhindi Masala,80,3,12,4,Vegetarian,Vegan,Heart Health
Pesarattu,200,10,30,5,Grain,Vegan,Weight Management
Chana Masala,250,12,30,10,Vegetarian,Vegan,Diabetes Management
Dosa,150,5,30,2,Grain,Vegetarian,Weight Management
Samosa Chaat,300,8,40,15,Snack,Vegetarian,Heart Health
Vegetable Biryani,400,10,45,15,Vegetarian,Non-Vegan,Heart Health
Dhokla,120,5,20,3,Snack,Vegan,Weight Management
Bhindi Masala,80,3,12,4,Vegetable,Vegan,Heart Health
Pav Bhaji,400,10,60,20,Vegetable,Vegetarian,Heart Health
Fish Curry,300,20,15,18,Seafood,Non-Vegetarian,Heart Health
Vegetable Biryani,350,8,70,10,Grain,Vegetarian,Weight Management
Masoor Dal,150,8,20,5,Lentil,Vegetarian,Diabetes Management
Aloo Paratha,300,8,40,15,Bread,Vegetarian,Weight Management
Butter Chicken,450,25,20,30,Meat,Non-Vegetarian,Energy Boost
Rajma Chawal,350,10,45,15,Lentil,Vegetarian,Heart Health
Paneer Tikka,250,20,10,15,Dairy,Vegetarian,Immune Support
Chole Bhature,500,15,40,25,Grain,Non-Vegetarian,Heart Health
Chicken Biryani,600,30,50,30,Grain,Non-Vegetarian,Energy Boost
Samosa,200,5,15,12,Snack,Vegetarian,Immune Support
Aloo Chaat,150,3,25,5,Snack,Vegetarian,Weight Management
Raita,100,5,10,7,Dairy,Vegetarian,Gut Health
Palak Paneer,250,15,20,15,Vegetable,Vegetarian,Heart Health
Malai Kofta,350,12,25,20,Vegetarian,Non-Vegan,Energy Boost
Baingan Bharta,150,3,20,10,Vegetable,Vegan,Heart Health
Pani Puri,100,2,15,5,Snack,Vegan,Immune Support
Tandoori Chicken,300,25,5,15,Meat,Non-Vegetarian,Heart Health
Biryani,500,20,50,25,Main Course,Non-Vegetarian,Heart Health
Masoor Dal,150,8,20,5,Lentil,Vegetarian,Diabetes Management
Aloo Paratha,300,8,40,15,Bread,Vegetarian,Weight Management
Butter Chicken,450,25,20,30,Main Course,Non-Vegetarian,Energy Boost
Rajma Chawal,350,10,45,15,Lentil,Vegetarian,Heart Health
Paneer Tikka,250,20,10,15,Dairy,Vegetarian,Immune Support
Chole Bhature,500,15,40,25,Main Course,Non-Vegetarian,Heart Health
Chicken Biryani,600,30,50,30,Main Course,Non-Vegetarian,Energy Boost
Samosa,200,5,15,12,Snack,Vegetarian,Immune Support
Aloo Gobi,180,5,25,8,Vegetable,Vegan,Weight Management
Dhokla,120,5,20,3,Snack,Vegan,Weight Management
Baingan Bharta,150,3,20,10,Vegetable,Vegan,Heart Health
Pav Bhaji,400,10,60,20,Vegetable,Vegetarian,Heart Health
Fish Curry,300,20,15,18,Seafood,Non-Vegetarian,Heart Health
Vegetable Biryani,350,8,70,10,Main Course,Vegetarian,Weight Management
Mango Lassi,200,5,30,8,Drink,Vegetarian,Immune Support
Aam Ras,150,2,35,1,Drink,Vegetarian,Energy Boost
Kheer,180,4,30,6,Dessert,Vegetarian,Bone Health
Gulab Jamun,150,2,25,8,Dessert,Vegetarian,Energy Boost
Jalebi,250,3,40,10,Dessert,Vegetarian,Diabetes Management
Pani Puri,100,2,15,5,Snack,Vegan,Immune Support
Tandoori Chicken,300,25,5,15,Meat,Non-Vegetarian,Heart Health
Chana Masala,250,12,30,10,Vegetarian,Vegan,Diabetes Management
Dosa,150,5,30,2,Grain,Vegetarian,Weight Management
Samosa Chaat,300,8,40,15,Snack,Vegetarian,Heart Health
Vegetable Biryani,400,10,45,15,Main Course,Vegetarian,Heart Health
Chole Bhature,500,15,40,25,Main Course,Non-Vegetarian,Heart Health
Chicken Biryani,600,30,50,30,Main Course,Non-Vegetarian,Energy Boost
Mango Lassi,200,5,30,8,Drink,Vegetarian,Immune Support
Bhutte Ka Kees,250,5,30,15,Vegetarian,Non-Vegan,Weight Management
Kalaadi,200,15,10,12,Dairy,Vegetarian,Immune Support
Khar,180,8,20,10,Main Course,Non-Vegan,Heart Health
Litti Chokha,300,12,40,15,Main Course,Vegetarian,Diabetes Management
Dhansak,350,20,30,18,Main Course,Non-Vegetarian,Energy Boost
Gatte Ki Sabzi,280,10,25,15,Vegetarian,Vegan,Heart Health
Kalaadi,200,15,10,12,Dairy,Vegetarian,Immune Support
Panta Bhat,120,5,25,3,Main Course,Vegan,Weight Management
Sorpotel,400,25,30,22,Main Course,Non-Vegetarian,Heart Health
Undhiyu,300,10,40,15,Main Course,Vegetarian,Weight Management
Malai Kofta,350,15,25,22,Vegetarian,Non-Vegan,Energy Boost
Baingan Bharta,200,5,30,10,Vegetarian,Vegan,Heart Health
Kadhi Chawal,300,8,40,15,Main Course,Vegetarian,Diabetes Management
Rajasthani Dal Baati,400,12,50,18,Main Course,Vegetarian,Energy Boost
Kheema Pav,350,20,25,22,Main Course,Non-Vegetarian,Heart Health
Patra,250,8,30,12,Snack,Vegetarian,Weight Management
Chapati Roll,200,10,25,10,Main Course,Vegetarian,Weight Management
Mysore Pak,180,5,30,8,Dessert,Vegetarian,Energy Boost
Poha,250,5,40,8,Main Course,Vegan,Weight Management
Kalaadi,180,15,8,10,Dairy,Vegetarian,Immune Support
Misal Pav,300,15,30,18,Main Course,Vegetarian,Heart Health
Kofta Curry,350,12,25,20,Main Course,Vegetarian,Energy Boost
Aloo Gobi,200,5,25,12,Vegetarian,Vegan,Weight Management
Rogan Josh,400,20,30,25,Main Course,Non-Vegetarian,Heart Health
Bhindi Masala,180,5,20,10,Vegetarian,Vegan,Heart Health
Jodhpuri Kabuli,300,10,40,15,Main Course,Non-Vegetarian,Diabetes Management
Kalaadi,200,15,10,12,Dairy,Vegetarian,Immune Support
Dhokla,150,5,20,3,Snack,Vegan,Weight Management
Tawa Pulao,250,8,35,10,Main Course,Vegetarian,Weight Management
Keema Samosa,200,10,15,12,Snack,Non-Vegetarian,Immune Support
Aloo Methi,200,5,30,10,Vegetarian,Vegan,Heart Health
Murg Malaiwala,350,20,15,25,Main Course,Non-Vegetarian,Heart Health
Navratan Korma,300,10,35,18,Main Course,Vegetarian,Diabetes Management
Rasam,100,3,20,2,Soup,Vegetarian,Immune Support
Bhutte Ka Kees,250,5,30,15,Vegetarian,Non-Vegan,Weight Management
Gajar Ka Halwa,250,5,40,10,Dessert,Vegetarian,Energy Boost
Bhindi Do Pyaza,180,4,25,8,Vegetarian,Vegan,Heart Health
Khar,180,8,20,10,Main Course,Non-Vegan,Heart Health
Dahi Vada,150,6,20,8,Snack,Vegetarian,Weight Management
Bisi Bele Bath,350,10,45,15,Main Course,Vegetarian,Weight Management
Bharwan Bhindi,180,5,25,8,Vegetarian,Vegan,Heart Health
Kadai Paneer,300,15,20,18,Vegetarian,Non-Vegan,Diabetes Management
Pav Bhaji,400,10,60,20,Main Course,Vegetarian,Heart Health
Rajma Chawal,350,12,40,15,Main Course,Vegetarian,Weight Management
Jhalmuri,200,5,30,10,Snack,Vegan,Weight Management
